// PatSize	  TextSize	  Naive-RT	    KMP-RT
      1000	    410000	      4190	      3863
     10000	    410000	      4260	      3835
    100000	    410000	      5005	      3587
        10	    420000	      4191	      4014
       100	    420000	      4242	      3958
      1000	    420000	      4528	      3938
     10000	    420000	      4268	      3856
    100000	    420000	      5335	      3339
        10	    430000	      4609	      4035
       100	    430000	      4280	      3952
      1000	    430000	      4305	      4161
     10000	    430000	      4784	      4190
    100000	    430000	      5601	      3104
        10	    440000	      3640	      3183
       100	    440000	      3634	      3578
      1000	    440000	      3593	      3415
     10000	    440000	      3657	      3172
    100000	    440000	      4495	      4406
        10	    450000	      3732	      3483
       100	    450000	      3570	      3488
      1000	    450000	      3603	      3488
     10000	    450000	      3771	      3230
    100000	    450000	      6241	      2915
        10	    460000	      4087	      3705
       100	    460000	      4122	      3963
      1000	    460000	      3929	      3356
     10000	    460000	      3889	      3131
    100000	    460000	      4531	      2883
        10	    470000	      4121	      3415
       100	    470000	      3863	      3591
      1000	    470000	      3756	      3428
     10000	    470000	      3873	      3560
    100000	    470000	      4523	      3102
        10	    480000	      4361	      3789
       100	    480000	      4031	      3821
      1000	    480000	      3854	      3774
     10000	    480000	      4190	      3442
    100000	    480000	      5282	      2965
        10	    490000	      4168	      3791
       100	    490000	      4066	      3785
      1000	    490000	      4265	      3775
     10000	    490000	      4294	      3548
    100000	    490000	      4960	      3201
        10	    500000	      4851	      4548
       100	    500000	      4150	      3915
      1000	    500000	      5292	      3922
     10000	    500000	      5370	      3613
    100000	    500000	      6059	      2929
        10	    510000	      4279	      3981
       100	    510000	      4273	      4065
      1000	    510000	      4299	      5119
     10000	    510000	      4789	      3700
    100000	    510000	      5962	      3009
        10	    520000	      4314	      3922
       100	    520000	      4218	      4016
      1000	    520000	      4367	      3992
     10000	    520000	      4308	      3927
    100000	    520000	      6240	      4653
        10	    530000	      4560	      4016
       100	    530000	      4418	      4043
      1000	    530000	      4431	      4024
     10000	    530000	      4599	      3781
    100000	    530000	      5324	      2959
        10	    540000	      4766	      4112
       100	    540000	      4327	      4052
      1000	    540000	      4375	      4293
     10000	    540000	      4432	      3887
    100000	    540000	      5357	      3143
        10	    550000	      4443	      3994
       100	    550000	      4681	      4104
      1000	    550000	      4649	      4247
     10000	    550000	      4506	      3833
    100000	    550000	      5390	      3228
        10	    560000	      6429	      4436
       100	    560000	      4558	      4349
      1000	    560000	      4838	      4334
     10000	    560000	      7258	      4708
    100000	    560000	      6702	      3331
        10	    570000	      5642	      6975
       100	    570000	      5419	      7327
      1000	    570000	      5104	      5844
     10000	    570000	      4924	      4897
    100000	    570000	      5624	      3611
        10	    580000	      5033	      4576
       100	    580000	      4937	      4393
      1000	    580000	      4835	      4872
     10000	    580000	      4844	      4618
    100000	    580000	      5994	      3101
        10	    590000	      5248	      4720
       100	    590000	      4999	      4406
      1000	    590000	      4761	      4309
     10000	    590000	      4900	      4055
    100000	    590000	      5899	      3261
        10	    600000	      5592	      5951
       100	    600000	      5678	      5607
      1000	    600000	      6050	      5472
     10000	    600000	      5042	      5170
    100000	    600000	      8548	      4047
        10	    610000	      6253	      7378
       100	    610000	      5824	      5888
      1000	    610000	      6291	      6584
     10000	    610000	      5998	      5044
    100000	    610000	     13170	      6565
        10	    620000	      6094	      5024
       100	    620000	      5932	      5269
      1000	    620000	      5163	      4764
     10000	    620000	      5311	      5005
    100000	    620000	      6269	      3920
        10	    630000	      6913	      5073
       100	    630000	      6269	      4941
      1000	    630000	      6081	      4950
     10000	    630000	      6360	      4684
    100000	    630000	      6850	      3833
        10	    640000	      6346	      5378
       100	    640000	      6021	      5713
      1000	    640000	      5401	      5853
     10000	    640000	      6858	      5597
    100000	    640000	      7508	      5674
        10	    650000	      6730	      6454
       100	    650000	      6051	      5708
      1000	    650000	      5393	      5458
     10000	    650000	      5830	      4502
    100000	    650000	     13824	      3463
        10	    660000	      5436	      5185
       100	    660000	      7065	      5390
      1000	    660000	      6136	      5024
     10000	    660000	      5939	      4717
    100000	    660000	      8068	      3832
        10	    670000	      6571	      5173
       100	    670000	      6351	      5349
      1000	    670000	     10791	      5449
     10000	    670000	      7218	      5358
    100000	    670000	      9092	      3627
        10	    680000	      6455	      5152
       100	    680000	      5503	      5147
      1000	    680000	      5652	      5107
     10000	    680000	      5762	      4730
    100000	    680000	      7057	      3496
        10	    690000	      6004	      5418
       100	    690000	      6291	      5321
      1000	    690000	      5599	      5263
     10000	    690000	      6693	      4705
    100000	    690000	      7520	      4389
        10	    700000	      6633	      5155
       100	    700000	      6350	      5260
      1000	    700000	      5891	      5263
     10000	    700000	      5731	      5005
    100000	    700000	      6848	      5896
        10	    710000	      6572	      5364
       100	    710000	      6827	      5297
      1000	    710000	      5848	      5172
     10000	    710000	      5939	      5496
    100000	    710000	      6990	      3480
        10	    720000	      6208	      5540
       100	    720000	      5914	      5281
      1000	    720000	      6862	      5335
     10000	    720000	      6988	      4886
    100000	    720000	      8134	      5119
        10	    730000	      7767	      5491
       100	    730000	      6109	      5599
      1000	    730000	      6033	      5431
     10000	    730000	      5563	      4963
    100000	    730000	      7467	      3825
        10	    740000	      6256	      5529
       100	    740000	      6163	      5289
      1000	    740000	      5984	      5582
     10000	    740000	      6286	      5099
    100000	    740000	      7421	      3755
        10	    750000	      6046	      5648
       100	    750000	      6214	      5554
      1000	    750000	      6034	      5797
     10000	    750000	      6221	      4961
    100000	    750000	      7525	      4103
        10	    760000	      6121	      5887
       100	    760000	      6207	      5716
